Tabelle: 52411-0001
Insolvenzverfahren, Voraussichtliche Forderungen:;;;;
Deutschland, Monate;;;;
Statistik über beantragte Insolvenzverfahren;;;;;;;
Deutschland;;;;;;;
;;Insolvenzverfahren;;Veränderung zum Vorjahresmonat;;Voraussichtliche Forderungen;
;;Anzahl;Anzahl;in (%);in (%);Tsd. EUR;Tsd. EUR
2024;Januar;9566;e;11,4;e;4310057;e
;Februar;9859;e;15,3;e;4685461;e
;März;10158;e;2,0;e;4416646;e
;April;10545;e;28,5;e;12274192;e
;Mai;10037;e;8,1;e;4080703;e
;Juni;9727;e;2,0;e;6921207;e
;Juli;11245;e;18,9;e;4223511;e
;August;9596;e;-1,4;e;2977130;e
;September;9710;e;7,7;e;8288780;e
;Oktober;10696;e;14,9;e;4616817;e
;November;9989;e;4,3;e;3672424;e
;Dezember;9546;e;6,4;e;6450794;e
2025;Januar;10426;e;9,0;e;5994571;e
;Februar;10556;e;7,1;e;9848626;e
;März;10794;e;6,3;e;6327915;e
;April;10923;e;3,6;e;3228811;e
;Mai;11118;e;10,8;e;3991813;e
;Juni;10956;e;12,6;e;3282741;e
;Juli;12597;e;12,0;e;4511949;e
;August;10514;e;9,6;e;6077912;e
;September;10444;e;7,6;e;3736803;e
;Oktober;11262;e;5,3;e;3344534;e
;November;10666;e;6,8;e;2250002;e
;Dezember;...;;...;;...;
__________
© Statistisches Bundesamt (Destatis), 2026
Stand: 12.03.2026 / 14:28:13
