Tabelle: 52411-0002
Insolvenzverfahren, Voraussichtliche Forderungen:;;
Deutschland, Monate, Beantragte Verfahren;;
Statistik über beantragte Insolvenzverfahren;;;;
Deutschland;;;;
;Insolvenzverfahren;;Voraussichtliche Forderungen;
;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR
2020;;;;
Januar;;;;
eröffnet;8114;e;4427060;e
mangels Masse abgewiesen;736;e;121808;e
Schuldenbereinigungsplan angenommen;145;e;24936;e
Insgesamt;8995;e;4573804;e
Februar;;;;
eröffnet;7411;e;1350610;e
mangels Masse abgewiesen;628;e;131059;e
Schuldenbereinigungsplan angenommen;94;e;4411;e
Insgesamt;8133;e;1486080;e
März;;;;
eröffnet;7433;e;2696784;e
mangels Masse abgewiesen;683;e;107585;e
Schuldenbereinigungsplan angenommen;111;e;4922;e
Insgesamt;8227;e;2809292;e
April;;;;
eröffnet;5522;e;2605217;e
mangels Masse abgewiesen;715;e;969818;e
Schuldenbereinigungsplan angenommen;85;e;5173;e
Insgesamt;6322;e;3580208;e
Mai;;;;
eröffnet;6679;e;3460511;e
mangels Masse abgewiesen;747;e;118209;e
Schuldenbereinigungsplan angenommen;106;e;19853;e
Insgesamt;7532;e;3598573;e
Juni;;;;
eröffnet;7604;e;3456052;e
mangels Masse abgewiesen;778;e;217783;e
Schuldenbereinigungsplan angenommen;95;e;4498;e
Insgesamt;8477;e;3678333;e
Juli;;;;
eröffnet;6158;e;4179123;e
mangels Masse abgewiesen;748;e;154689;e
Schuldenbereinigungsplan angenommen;108;e;5307;e
Insgesamt;7014;e;4339119;e
August;;;;
eröffnet;3167;e;17491796;e
mangels Masse abgewiesen;638;e;100407;e
Schuldenbereinigungsplan angenommen;105;e;5502;e
Insgesamt;3910;e;17597706;e
September;;;;
eröffnet;2471;e;1481070;e
mangels Masse abgewiesen;612;e;98852;e
Schuldenbereinigungsplan angenommen;109;e;7457;e
Insgesamt;3192;e;1587378;e
Oktober;;;;
eröffnet;3260;e;3218351;e
mangels Masse abgewiesen;605;e;132247;e
Schuldenbereinigungsplan angenommen;82;e;4525;e
Insgesamt;3947;e;3355124;e
November;;;;
eröffnet;3659;e;1728709;e
mangels Masse abgewiesen;570;e;92412;e
Schuldenbereinigungsplan angenommen;99;e;12604;e
Insgesamt;4328;e;1833725;e
Dezember;;;;
eröffnet;4317;e;1581726;e
mangels Masse abgewiesen;569;e;95296;e
Schuldenbereinigungsplan angenommen;81;e;5431;e
Insgesamt;4967;e;1682453;e
2021;;;;
Januar;;;;
eröffnet;7142;e;4063771;e
mangels Masse abgewiesen;581;e;100725;e
Schuldenbereinigungsplan angenommen;62;e;3687;e
Insgesamt;7785;e;4168182;e
Februar;;;;
eröffnet;10520;e;1730008;e
mangels Masse abgewiesen;591;e;156078;e
Schuldenbereinigungsplan angenommen;73;e;3406;e
Insgesamt;11184;e;1889493;e
März;;;;
eröffnet;13400;e;12847241;e
mangels Masse abgewiesen;645;e;168216;e
Schuldenbereinigungsplan angenommen;82;e;13684;e
Insgesamt;14127;e;13029142;e
April;;;;
eröffnet;9403;e;3043721;e
mangels Masse abgewiesen;634;e;71224;e
Schuldenbereinigungsplan angenommen;63;e;2468;e
Insgesamt;10100;e;3117412;e
Mai;;;;
eröffnet;8795;e;7597490;e
mangels Masse abgewiesen;666;e;94533;e
Schuldenbereinigungsplan angenommen;66;e;4691;e
Insgesamt;9527;e;7696714;e
Juni;;;;
eröffnet;9815;e;5622561;e
mangels Masse abgewiesen;608;e;285297;e
Schuldenbereinigungsplan angenommen;78;e;7272;e
Insgesamt;10501;e;5915130;e
Juli;;;;
eröffnet;10171;e;5170372;e
mangels Masse abgewiesen;649;e;147965;e
Schuldenbereinigungsplan angenommen;74;e;3253;e
Insgesamt;10894;e;5321589;e
August;;;;
eröffnet;8157;e;8843791;e
mangels Masse abgewiesen;610;e;74466;e
Schuldenbereinigungsplan angenommen;67;e;10157;e
Insgesamt;8834;e;8928414;e
September;;;;
eröffnet;8574;e;1301447;e
mangels Masse abgewiesen;540;e;102968;e
Schuldenbereinigungsplan angenommen;81;e;2971;e
Insgesamt;9195;e;1407385;e
Oktober;;;;
eröffnet;8429;e;1452125;e
mangels Masse abgewiesen;547;e;81362;e
Schuldenbereinigungsplan angenommen;65;e;3984;e
Insgesamt;9041;e;1537472;e
November;;;;
eröffnet;8920;e;1008185;e
mangels Masse abgewiesen;594;e;99833;e
Schuldenbereinigungsplan angenommen;92;e;3819;e
Insgesamt;9606;e;1111837;e
Dezember;;;;
eröffnet;8802;e;1856415;e
mangels Masse abgewiesen;561;e;105353;e
Schuldenbereinigungsplan angenommen;82;e;6626;e
Insgesamt;9445;e;1968394;e
2022;;;;
Januar;;;;
eröffnet;7566;e;11608451;e
mangels Masse abgewiesen;562;e;114187;e
Schuldenbereinigungsplan angenommen;83;e;5690;e
Insgesamt;8211;e;11728328;e
Februar;;;;
eröffnet;7947;e;1598068;e
mangels Masse abgewiesen;588;e;77630;e
Schuldenbereinigungsplan angenommen;68;e;5869;e
Insgesamt;8603;e;1681567;e
März;;;;
eröffnet;9309;e;1873180;e
mangels Masse abgewiesen;658;e;119244;e
Schuldenbereinigungsplan angenommen;70;e;4135;e
Insgesamt;10037;e;1996558;e
April;;;;
eröffnet;7711;e;1840479;e
mangels Masse abgewiesen;618;e;89336;e
Schuldenbereinigungsplan angenommen;65;e;3280;e
Insgesamt;8394;e;1933095;e
Mai;;;;
eröffnet;8652;e;2698830;e
mangels Masse abgewiesen;594;e;83968;e
Schuldenbereinigungsplan angenommen;72;e;8124;e
Insgesamt;9318;e;2790922;e
Juni;;;;
eröffnet;8187;e;1266021;e
mangels Masse abgewiesen;566;e;69968;e
Schuldenbereinigungsplan angenommen;78;e;4981;e
Insgesamt;8831;e;1340971;e
Juli;;;;
eröffnet;7754;e;1193857;e
mangels Masse abgewiesen;595;e;87836;e
Schuldenbereinigungsplan angenommen;65;e;4420;e
Insgesamt;8414;e;1286113;e
August;;;;
eröffnet;7940;e;1429734;e
mangels Masse abgewiesen;589;e;110589;e
Schuldenbereinigungsplan angenommen;69;e;6511;e
Insgesamt;8598;e;1546834;e
September;;;;
eröffnet;8065;e;1511565;e
mangels Masse abgewiesen;550;e;63260;e
Schuldenbereinigungsplan angenommen;61;e;4477;e
Insgesamt;8676;e;1579302;e
Oktober;;;;
eröffnet;7456;e;1196451;e
mangels Masse abgewiesen;679;e;125813;e
Schuldenbereinigungsplan angenommen;72;e;3430;e
Insgesamt;8207;e;1325694;e
November;;;;
eröffnet;8508;e;1858489;e
mangels Masse abgewiesen;634;e;133182;e
Schuldenbereinigungsplan angenommen;62;e;45750;e
Insgesamt;9204;e;2037422;e
Dezember;;;;
eröffnet;8321;e;2226951;e
mangels Masse abgewiesen;659;e;93564;e
Schuldenbereinigungsplan angenommen;56;e;3011;e
Insgesamt;9036;e;2323526;e
2023;;;;
Januar;;;;
eröffnet;7887;e;2677402;e
mangels Masse abgewiesen;643;e;77701;e
Schuldenbereinigungsplan angenommen;56;e;4232;e
Insgesamt;8586;e;2759336;e
Februar;;;;
eröffnet;7915;e;3548899;e
mangels Masse abgewiesen;583;e;114485;e
Schuldenbereinigungsplan angenommen;52;e;2113;e
Insgesamt;8550;e;3665497;e
März;;;;
eröffnet;9233;e;1808271;e
mangels Masse abgewiesen;675;e;116104;e
Schuldenbereinigungsplan angenommen;49;e;3173;e
Insgesamt;9957;e;1927548;e
April;;;;
eröffnet;7516;e;1743506;e
mangels Masse abgewiesen;639;e;135744;e
Schuldenbereinigungsplan angenommen;50;e;3174;e
Insgesamt;8205;e;1882424;e
Mai;;;;
eröffnet;8542;e;4434418;e
mangels Masse abgewiesen;692;e;90074;e
Schuldenbereinigungsplan angenommen;50;e;12978;e
Insgesamt;9284;e;4537471;e
Juni;;;;
eröffnet;8831;e;2405366;e
mangels Masse abgewiesen;659;e;88625;e
Schuldenbereinigungsplan angenommen;43;e;3455;e
Insgesamt;9533;e;2497446;e
Juli;;;;
eröffnet;8702;e;3267059;e
mangels Masse abgewiesen;714;e;472451;e
Schuldenbereinigungsplan angenommen;44;e;2251;e
Insgesamt;9460;e;3741762;e
August;;;;
eröffnet;8927;e;2485939;e
mangels Masse abgewiesen;753;e;121955;e
Schuldenbereinigungsplan angenommen;52;e;2683;e
Insgesamt;9732;e;2610577;e
September;;;;
eröffnet;8338;e;2640141;e
mangels Masse abgewiesen;628;e;178965;e
Schuldenbereinigungsplan angenommen;53;e;3429;e
Insgesamt;9019;e;2822536;e
Oktober;;;;
eröffnet;8510;e;2061046;e
mangels Masse abgewiesen;742;e;212819;e
Schuldenbereinigungsplan angenommen;53;e;8878;e
Insgesamt;9305;e;2282743;e
November;;;;
eröffnet;8779;e;1974014;e
mangels Masse abgewiesen;746;e;170223;e
Schuldenbereinigungsplan angenommen;48;e;3089;e
Insgesamt;9573;e;2147327;e
Dezember;;;;
eröffnet;8249;e;2793160;e
mangels Masse abgewiesen;674;e;158428;e
Schuldenbereinigungsplan angenommen;51;e;4758;e
Insgesamt;8974;e;2956346;e
2024;;;;
Januar;;;;
eröffnet;8749;e;4066153;e
mangels Masse abgewiesen;772;e;240802;e
Schuldenbereinigungsplan angenommen;45;e;3101;e
Insgesamt;9566;e;4310057;e
Februar;;;;
eröffnet;9044;e;4584259;e
mangels Masse abgewiesen;775;e;99606;e
Schuldenbereinigungsplan angenommen;40;e;1596;e
Insgesamt;9859;e;4685461;e
März;;;;
eröffnet;9312;e;4263936;e
mangels Masse abgewiesen;810;e;150624;e
Schuldenbereinigungsplan angenommen;36;e;2086;e
Insgesamt;10158;e;4416646;e
April;;;;
eröffnet;9646;e;12038593;e
mangels Masse abgewiesen;850;e;196275;e
Schuldenbereinigungsplan angenommen;49;e;39324;e
Insgesamt;10545;e;12274192;e
Mai;;;;
eröffnet;9106;e;3890735;e
mangels Masse abgewiesen;878;e;181504;e
Schuldenbereinigungsplan angenommen;53;e;8463;e
Insgesamt;10037;e;4080703;e
Juni;;;;
eröffnet;8927;e;6648723;e
mangels Masse abgewiesen;766;e;267640;e
Schuldenbereinigungsplan angenommen;34;e;4844;e
Insgesamt;9727;e;6921207;e
Juli;;;;
eröffnet;10291;e;4028162;e
mangels Masse abgewiesen;912;e;192643;e
Schuldenbereinigungsplan angenommen;42;e;2705;e
Insgesamt;11245;e;4223511;e
August;;;;
eröffnet;8755;e;2749469;e
mangels Masse abgewiesen;812;e;226586;e
Schuldenbereinigungsplan angenommen;29;e;1075;e
Insgesamt;9596;e;2977130;e
September;;;;
eröffnet;8797;e;8140069;e
mangels Masse abgewiesen;882;e;145690;e
Schuldenbereinigungsplan angenommen;31;e;3020;e
Insgesamt;9710;e;8288780;e
Oktober;;;;
eröffnet;9705;e;4362992;e
mangels Masse abgewiesen;945;e;249609;e
Schuldenbereinigungsplan angenommen;46;e;4216;e
Insgesamt;10696;e;4616817;e
November;;;;
eröffnet;9108;e;3343339;e
mangels Masse abgewiesen;850;e;328145;e
Schuldenbereinigungsplan angenommen;31;e;941;e
Insgesamt;9989;e;3672424;e
Dezember;;;;
eröffnet;8691;e;6136197;e
mangels Masse abgewiesen;823;e;312959;e
Schuldenbereinigungsplan angenommen;32;e;1639;e
Insgesamt;9546;e;6450794;e
2025;;;;
Januar;;;;
eröffnet;9480;e;5689758;e
mangels Masse abgewiesen;915;e;303448;e
Schuldenbereinigungsplan angenommen;31;e;1365;e
Insgesamt;10426;e;5994571;e
Februar;;;;
eröffnet;9570;e;9625056;e
mangels Masse abgewiesen;960;e;220999;e
Schuldenbereinigungsplan angenommen;26;e;2571;e
Insgesamt;10556;e;9848626;e
März;;;;
eröffnet;9794;e;6102457;e
mangels Masse abgewiesen;959;e;222157;e
Schuldenbereinigungsplan angenommen;41;e;3301;e
Insgesamt;10794;e;6327915;e
April;;;;
eröffnet;9933;e;2842431;e
