Tabelle: 52411-0013
Insolvenzverfahren (Unternehmen), Voraussichtliche;;;
Forderungen (Unternehmen), Arbeitnehmer: Deutschland,;;;
Monate, Unternehmensgrößenklassen;;;
Statistik über beantragte Insolvenzverfahren;;;;;;
Deutschland;;;;;;
;Insolvenzverfahren (Unternehmen);;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;
;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Anzahl
2020;;;;;;
Januar;;;;;;
1 Arbeitnehmer;153;e;51669;e;153;e
2 bis 5 Arbeitnehmer;203;e;99213;e;649;e
6 bis 10 Arbeitnehmer;103;e;2963057;e;818;e
11 bis 100 Arbeitnehmer;153;e;214728;e;4288;e
Über 100 Arbeitnehmer;21;e;268928;e;4829;e
Unbekannt oder kein Arbeitnehmer;976;e;432535;e;x;
Insgesamt;1609;e;4030129;e;10737;e
Februar;;;;;;
1 Arbeitnehmer;134;e;59629;e;134;e
2 bis 5 Arbeitnehmer;201;e;94589;e;626;e
6 bis 10 Arbeitnehmer;78;e;37541;e;581;e
11 bis 100 Arbeitnehmer;146;e;231957;e;4285;e
Über 100 Arbeitnehmer;16;e;141363;e;3228;e
Unbekannt oder kein Arbeitnehmer;954;e;417088;e;x;
Insgesamt;1529;e;982167;e;8854;e
März;;;;;;
1 Arbeitnehmer;144;e;19709;e;144;e
2 bis 5 Arbeitnehmer;195;e;183118;e;616;e
6 bis 10 Arbeitnehmer;80;e;44891;e;623;e
11 bis 100 Arbeitnehmer;144;e;315049;e;4270;e
Über 100 Arbeitnehmer;27;e;1254500;e;9912;e
Unbekannt oder kein Arbeitnehmer;955;e;469733;e;x;
Insgesamt;1545;e;2287000;e;15565;e
April;;;;;;
1 Arbeitnehmer;124;e;57045;e;124;e
2 bis 5 Arbeitnehmer;176;e;73468;e;574;e
6 bis 10 Arbeitnehmer;95;e;51329;e;730;e
11 bis 100 Arbeitnehmer;166;e;372374;e;4707;e
Über 100 Arbeitnehmer;24;e;365739;e;5568;e
Unbekannt oder kein Arbeitnehmer;880;e;2231728;e;x;
Insgesamt;1465;e;3151682;e;11703;e
Mai;;;;;;
1 Arbeitnehmer;125;e;40119;e;125;e
2 bis 5 Arbeitnehmer;208;e;143808;e;663;e
6 bis 10 Arbeitnehmer;90;e;35501;e;689;e
11 bis 100 Arbeitnehmer;156;e;195185;e;4335;e
Über 100 Arbeitnehmer;22;e;842277;e;10844;e
Unbekannt oder kein Arbeitnehmer;903;e;1841759;e;x;
Insgesamt;1504;e;3098649;e;16656;e
Juni;;;;;;
1 Arbeitnehmer;110;e;143502;e;110;e
2 bis 5 Arbeitnehmer;177;e;50453;e;596;e
6 bis 10 Arbeitnehmer;85;e;60513;e;658;e
11 bis 100 Arbeitnehmer;132;e;779193;e;4308;e
Über 100 Arbeitnehmer;31;e;1089856;e;9497;e
Unbekannt oder kein Arbeitnehmer;819;e;994053;e;x;
Insgesamt;1354;e;3117570;e;15169;e
Juli;;;;;;
1 Arbeitnehmer;139;e;268172;e;139;e
2 bis 5 Arbeitnehmer;142;e;236081;e;441;e
6 bis 10 Arbeitnehmer;64;e;21278;e;502;e
11 bis 100 Arbeitnehmer;114;e;493112;e;3669;e
Über 100 Arbeitnehmer;40;e;2468261;e;40010;e
Unbekannt oder kein Arbeitnehmer;870;e;383293;e;x;
Insgesamt;1369;e;3870197;e;44761;e
August;;;;;;
1 Arbeitnehmer;92;e;457443;e;92;e
2 bis 5 Arbeitnehmer;138;e;127123;e;413;e
6 bis 10 Arbeitnehmer;48;e;34119;e;385;e
11 bis 100 Arbeitnehmer;78;e;501173;e;2647;e
Über 100 Arbeitnehmer;30;e;13673020;e;11429;e
Unbekannt oder kein Arbeitnehmer;665;e;2558513;e;x;
Insgesamt;1051;e;17351391;e;14966;e
September;;;;;;
1 Arbeitnehmer;94;e;25725;e;94;e
2 bis 5 Arbeitnehmer;128;e;55242;e;415;e
6 bis 10 Arbeitnehmer;66;e;26709;e;496;e
11 bis 100 Arbeitnehmer;112;e;369595;e;3620;e
Über 100 Arbeitnehmer;32;e;602857;e;11030;e
Unbekannt oder kein Arbeitnehmer;633;e;309036;e;x;
Insgesamt;1065;e;1389164;e;15655;e
Oktober;;;;;;
1 Arbeitnehmer;116;e;73587;e;116;e
2 bis 5 Arbeitnehmer;131;e;36770;e;412;e
6 bis 10 Arbeitnehmer;76;e;74916;e;598;e
11 bis 100 Arbeitnehmer;99;e;854332;e;3161;e
Über 100 Arbeitnehmer;22;e;689459;e;7007;e
Unbekannt oder kein Arbeitnehmer;641;e;358786;e;x;
Insgesamt;1085;e;2087851;e;11294;e
November;;;;;;
1 Arbeitnehmer;89;e;93416;e;89;e
2 bis 5 Arbeitnehmer;133;e;41553;e;417;e
6 bis 10 Arbeitnehmer;62;e;31719;e;474;e
11 bis 100 Arbeitnehmer;94;e;744917;e;2583;e
Über 100 Arbeitnehmer;11;e;196974;e;2646;e
Unbekannt oder kein Arbeitnehmer;657;e;257139;e;x;
Insgesamt;1046;e;1365717;e;6209;e
Dezember;;;;;;
1 Arbeitnehmer;107;e;57211;e;107;e
2 bis 5 Arbeitnehmer;147;e;43420;e;470;e
6 bis 10 Arbeitnehmer;81;e;125449;e;618;e
11 bis 100 Arbeitnehmer;132;e;296614;e;3816;e
Über 100 Arbeitnehmer;17;e;314175;e;11315;e
Unbekannt oder kein Arbeitnehmer;735;e;508944;e;x;
Insgesamt;1219;e;1345813;e;16326;e
2021;;;;;;
Januar;;;;;;
1 Arbeitnehmer;96;e;2644367;e;96;e
2 bis 5 Arbeitnehmer;130;e;32788;e;417;e
6 bis 10 Arbeitnehmer;63;e;30205;e;473;e
11 bis 100 Arbeitnehmer;82;e;151488;e;2527;e
Über 100 Arbeitnehmer;15;e;534804;e;5724;e
Unbekannt oder kein Arbeitnehmer;722;e;316040;e;x;
Insgesamt;1108;e;3709693;e;9237;e
Februar;;;;;;
1 Arbeitnehmer;122;e;123312;e;122;e
2 bis 5 Arbeitnehmer;161;e;78202;e;502;e
6 bis 10 Arbeitnehmer;51;e;28788;e;394;e
11 bis 100 Arbeitnehmer;90;e;187596;e;2709;e
Über 100 Arbeitnehmer;15;e;311077;e;3269;e
Unbekannt oder kein Arbeitnehmer;756;e;476996;e;x;
Insgesamt;1195;e;1205971;e;6996;e
März;;;;;;
1 Arbeitnehmer;103;e;98185;e;103;e
2 bis 5 Arbeitnehmer;174;e;60116;e;535;e
6 bis 10 Arbeitnehmer;77;e;42420;e;593;e
11 bis 100 Arbeitnehmer;106;e;226661;e;3340;e
Über 100 Arbeitnehmer;16;e;3679086;e;3632;e
Unbekannt oder kein Arbeitnehmer;983;e;8066603;e;x;
Insgesamt;1459;e;12173071;e;8203;e
April;;;;;;
