Tabelle: 52411-0014
Insolvenzverfahren (Unternehmen), Arbeitnehmer: Deutschland,;;
Monate, Beantragte Verfahren;;
Statistik über beantragte Insolvenzverfahren;;;;
Deutschland;;;;
;Insolvenzverfahren (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;
;Anzahl;Anzahl;Anzahl;Anzahl
2020;;;;
Januar;;;;
eröffnet;1175;e;10510;e
mangels Masse abgewiesen;434;e;227;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1609;e;10737;e
Februar;;;;
eröffnet;1120;e;8504;e
mangels Masse abgewiesen;409;e;350;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1529;e;8854;e
März;;;;
eröffnet;1105;e;15277;e
mangels Masse abgewiesen;440;e;288;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1545;e;15565;e
April;;;;
eröffnet;1040;e;11448;e
mangels Masse abgewiesen;425;e;255;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1465;e;11703;e
Mai;;;;
eröffnet;1058;e;16285;e
mangels Masse abgewiesen;446;e;371;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1504;e;16656;e
Juni;;;;
eröffnet;933;e;14812;e
mangels Masse abgewiesen;421;e;357;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1354;e;15169;e
Juli;;;;
eröffnet;931;e;44496;e
mangels Masse abgewiesen;438;e;265;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1369;e;44761;e
August;;;;
eröffnet;665;e;14729;e
mangels Masse abgewiesen;386;e;237;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1051;e;14966;e
September;;;;
eröffnet;731;e;15323;e
mangels Masse abgewiesen;334;e;332;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1065;e;15655;e
Oktober;;;;
eröffnet;716;e;11087;e
mangels Masse abgewiesen;369;e;207;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1085;e;11294;e
November;;;;
eröffnet;714;e;6031;e
mangels Masse abgewiesen;332;e;178;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1046;e;6209;e
Dezember;;;;
eröffnet;875;e;16131;e
mangels Masse abgewiesen;344;e;195;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1219;e;16326;e
2021;;;;
Januar;;;;
eröffnet;741;e;8971;e
mangels Masse abgewiesen;367;e;266;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1108;e;9237;e
Februar;;;;
eröffnet;847;e;6738;e
mangels Masse abgewiesen;348;e;258;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1195;e;6996;e
März;;;;
eröffnet;1086;e;7977;e
mangels Masse abgewiesen;373;e;226;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1459;e;8203;e
April;;;;
eröffnet;968;e;6384;e
mangels Masse abgewiesen;365;e;215;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1333;e;6599;e
Mai;;;;
eröffnet;767;e;3907;e
mangels Masse abgewiesen;349;e;136;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1116;e;4043;e
Juni;;;;
eröffnet;854;e;7420;e
mangels Masse abgewiesen;343;e;229;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1197;e;7649;e
Juli;;;;
eröffnet;846;e;7659;e
mangels Masse abgewiesen;354;e;262;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1200;e;7921;e
August;;;;
eröffnet;685;e;2795;e
mangels Masse abgewiesen;344;e;262;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1029;e;3057;e
September;;;;
eröffnet;757;e;4425;e
mangels Masse abgewiesen;288;e;126;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1045;e;4551;e
Oktober;;;;
eröffnet;737;e;6711;e
mangels Masse abgewiesen;319;e;233;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1056;e;6944;e
November;;;;
eröffnet;768;e;3781;e
mangels Masse abgewiesen;326;e;311;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1094;e;4092;e
Dezember;;;;
eröffnet;866;e;6241;e
mangels Masse abgewiesen;295;e;154;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1161;e;6395;e
2022;;;;
Januar;;;;
eröffnet;725;e;6850;e
mangels Masse abgewiesen;332;e;119;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1057;e;6969;e
Februar;;;;
eröffnet;811;e;6177;e
mangels Masse abgewiesen;321;e;180;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1132;e;6357;e
März;;;;
eröffnet;921;e;7626;e
mangels Masse abgewiesen;373;e;159;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1294;e;7785;e
April;;;;
eröffnet;886;e;6605;e
mangels Masse abgewiesen;362;e;172;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1248;e;6777;e
Mai;;;;
eröffnet;902;e;6782;e
mangels Masse abgewiesen;340;e;162;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1242;e;6944;e
Juni;;;;
eröffnet;803;e;5151;e
mangels Masse abgewiesen;337;e;194;e
