Tabelle: 52411-0018
Insolvenzverfahren (Unternehmen): Deutschland, Monate,;;;;
Beantragte Verfahren, Wirtschaftszweige (Abschnitte);;;;
Statistik über beantragte Insolvenzverfahren;;;;;;;
Deutschland;;;;;;;
Insolvenzverfahren (Unternehmen) (Anzahl);;;;;;;
;;Beantragte Verfahren;;;;;
;;eröffnet;;mangels Masse abgewiesen;;Schuldenbereinigungsplan angenommen;
2020;;;;;;;
Januar;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;11;e;1;e;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;-;;1;e;x;
WZ08-C;Verarbeitendes Gewerbe;139;e;20;e;x;
WZ08-D;Energieversorgung;2;e;-;;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;1;e;3;e;x;
WZ08-F;Baugewerbe;183;e;64;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;205;e;70;e;x;
WZ08-H;Verkehr und Lagerei;94;e;30;e;x;
WZ08-I;Gastgewerbe;136;e;49;e;x;
WZ08-J;Information und Kommunikation;29;e;27;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;14;e;7;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;29;e;19;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;105;e;65;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;105;e;47;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;16;e;3;e;x;
WZ08-Q;Gesundheits- und Sozialwesen;25;e;5;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;27;e;5;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;54;e;18;e;x;
Februar;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;8;e;-;;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;-;;-;;x;
WZ08-C;Verarbeitendes Gewerbe;111;e;16;e;x;
WZ08-D;Energieversorgung;3;e;2;e;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;2;e;-;;x;
WZ08-F;Baugewerbe;159;e;67;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;183;e;72;e;x;
WZ08-H;Verkehr und Lagerei;95;e;26;e;x;
WZ08-I;Gastgewerbe;127;e;40;e;x;
WZ08-J;Information und Kommunikation;37;e;14;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;18;e;13;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;29;e;16;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;109;e;66;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;130;e;47;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;16;e;4;e;x;
WZ08-Q;Gesundheits- und Sozialwesen;22;e;2;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;22;e;8;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;49;e;16;e;x;
März;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;8;e;1;e;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;-;;-;;x;
WZ08-C;Verarbeitendes Gewerbe;117;e;19;e;x;
WZ08-D;Energieversorgung;8;e;5;e;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;3;e;2;e;x;
WZ08-F;Baugewerbe;205;e;83;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;179;e;79;e;x;
WZ08-H;Verkehr und Lagerei;91;e;22;e;x;
WZ08-I;Gastgewerbe;120;e;42;e;x;
WZ08-J;Information und Kommunikation;37;e;16;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;17;e;16;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;24;e;17;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;90;e;55;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;123;e;50;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;9;e;3;e;x;
WZ08-Q;Gesundheits- und Sozialwesen;21;e;8;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;18;e;4;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;35;e;18;e;x;
April;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;8;e;3;e;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;1;e;-;;x;
WZ08-C;Verarbeitendes Gewerbe;129;e;19;e;x;
WZ08-D;Energieversorgung;4;e;4;e;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;1;e;-;;x;
WZ08-F;Baugewerbe;175;e;74;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;168;e;63;e;x;
WZ08-H;Verkehr und Lagerei;87;e;20;e;x;
WZ08-I;Gastgewerbe;102;e;57;e;x;
WZ08-J;Information und Kommunikation;30;e;17;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;19;e;10;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;25;e;15;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;99;e;64;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;107;e;38;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;8;e;-;;x;
WZ08-Q;Gesundheits- und Sozialwesen;27;e;7;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;22;e;10;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;28;e;24;e;x;
Mai;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;4;e;3;e;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;-;;-;;x;
WZ08-C;Verarbeitendes Gewerbe;126;e;19;e;x;
WZ08-D;Energieversorgung;5;e;5;e;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;5;e;1;e;x;
WZ08-F;Baugewerbe;150;e;85;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;175;e;72;e;x;
WZ08-H;Verkehr und Lagerei;96;e;25;e;x;
WZ08-I;Gastgewerbe;121;e;43;e;x;
WZ08-J;Information und Kommunikation;35;e;12;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;23;e;15;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;28;e;13;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;103;e;65;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;92;e;45;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;11;e;8;e;x;
WZ08-Q;Gesundheits- und Sozialwesen;24;e;6;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;17;e;8;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;43;e;21;e;x;
Juni;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;8;e;2;e;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;1;e;-;;x;
WZ08-C;Verarbeitendes Gewerbe;84;e;13;e;x;
WZ08-D;Energieversorgung;4;e;-;;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;3;e;4;e;x;
WZ08-F;Baugewerbe;147;e;70;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;145;e;74;e;x;
