Tabelle: 52411-0110
Insolvenzverfahren (Unternehmen), Voraussichtliche Forderungen (Unternehmen), Arbeitnehmer: Bundesländer, Monate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Statistik über beantragte Insolvenzverfahren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Bundesländer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Baden-Württemberg;;;;;;;;Bayern;;;;;;;;Berlin;;;;;;;;Brandenburg;;;;;;;;Bremen;;;;;;;;Hamburg;;;;;;;;Hessen;;;;;;;;Mecklenburg-Vorpommern;;;;;;;;Niedersachsen;;;;;;;;Nordrhein-Westfalen;;;;;;;;Rheinland-Pfalz;;;;;;;;Saarland;;;;;;;;Sachsen;;;;;;;;Sachsen-Anhalt;;;;;;;;Schleswig-Holstein;;;;;;;;Thüringen;;;;;;;
;;Insolvenzverfahren (Unternehmen);;Veränderung zum Vorjahresmonat;;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;;Insolvenzverfahren (Unternehmen);;Veränderung zum Vorjahresmonat;;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;;Insolvenzverfahren (Unternehmen);;Veränderung zum Vorjahresmonat;;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;;Insolvenzverfahren (Unternehmen);;Veränderung zum Vorjahresmonat;;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;;Insolvenzverfahren (Unternehmen);;Veränderung zum Vorjahresmonat;;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;;Insolvenzverfahren (Unternehmen);;Veränderung zum Vorjahresmonat;;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;;Insolvenzverfahren (Unternehmen);;Veränderung zum Vorjahresmonat;;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;;Insolvenzverfahren (Unternehmen);;Veränderung zum Vorjahresmonat;;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;;Insolvenzverfahren (Unternehmen);;Veränderung zum Vorjahresmonat;;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;;Insolvenzverfahren (Unternehmen);;Veränderung zum Vorjahresmonat;;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;;Insolvenzverfahren (Unternehmen);;Veränderung zum Vorjahresmonat;;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;;Insolvenzverfahren (Unternehmen);;Veränderung zum Vorjahresmonat;;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;;Insolvenzverfahren (Unternehmen);;Veränderung zum Vorjahresmonat;;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;;Insolvenzverfahren (Unternehmen);;Veränderung zum Vorjahresmonat;;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;;Insolvenzverfahren (Unternehmen);;Veränderung zum Vorjahresmonat;;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;;Insolvenzverfahren (Unternehmen);;Veränderung zum Vorjahresmonat;;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;
;;Anzahl;Anzahl;in (%);in (%);Tsd. EUR;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;in (%);in (%);Tsd. EUR;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;in (%);in (%);Tsd. EUR;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;in (%);in (%);Tsd. EUR;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;in (%);in (%);Tsd. EUR;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;in (%);in (%);Tsd. EUR;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;in (%);in (%);Tsd. EUR;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;in (%);in (%);Tsd. EUR;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;in (%);in (%);Tsd. EUR;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;in (%);in (%);Tsd. EUR;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;in (%);in (%);Tsd. EUR;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;in (%);in (%);Tsd. EUR;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;in (%);in (%);Tsd. EUR;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;in (%);in (%);Tsd. EUR;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;in (%);in (%);Tsd. EUR;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;in (%);in (%);Tsd. EUR;Tsd. EUR;Anzahl;Anzahl
2024;Januar;182;e;41,1;e;317973;e;2222;e;215;e;16,2;e;606322;e;1281;e;162;e;26,6;e;297321;e;671;e;38;e;111,1;e;19550;e;270;e;14;e;55,6;e;21985;e;213;e;66;e;17,9;e;88081;e;280;e;96;e;9,1;e;111441;e;909;e;34;e;112,5;e;58684;e;1812;e;131;e;36,5;e;64895;e;923;e;417;e;15,5;e;1796853;e;9373;e;62;e;59,0;e;69251;e;636;e;23;e;-20,7;e;3742;e;71;e;67;e;109,4;e;36357;e;306;e;23;e;64,3;e;5219;e;52;e;68;e;13,3;e;33619;e;333;e;24;e;118,2;e;7298;e;143;e
;Februar;209;e;43,2;e;121508;e;1620;e;256;e;44,6;e;413980;e;3000;e;173;e;25,4;e;1588230;e;1015;e;36;e;24,1;e;23427;e;444;e;14;e;7,7;e;11835;e;119;e;67;e;21,8;e;20280;e;193;e;133;e;44,6;e;73284;e;606;e;24;e;84,6;e;6872;e;232;e;129;e;31,6;e;74132;e;898;e;456;e;30,7;e;1183767;e;3977;e;77;e;14,9;e;396083;e;2277;e;23;e;64,3;e;10089;e;72;e;76;e;35,7;e;41053;e;773;e;20;e;5,3;e;4889;e;69;e;63;e;-;;95652;e;581;e;29;e;-12,1;e;14235;e;176;e
;März;233;e;23,9;e;295870;e;1708;e;248;e;15,3;e;290472;e;2836;e;155;e;13,1;e;1695425;e;771;e;30;e;36,4;e;11638;e;94;e;11;e;22,2;e;4085;e;157;e;60;e;11,1;e;119079;e;125;e;128;e;16,4;e;94250;e;162;e;32;e;60,0;e;18632;e;530;e;163;e;18,1;e;142440;e;977;e;440;e;36,2;e;746327;e;2122;e;83;e;48,2;e;87044;e;463;e;12;e;-33,3;e;1725;e;11;e;95;e;14,5;e;86970;e;794;e;27;e;-10,0;e;44653;e;481;e;60;e;-6,3;e;20800;e;336;e;25;e;47,1;e;10318;e;89;e
;April;222;e;59,7;e;419478;e;2357;e;260;e;34,0;e;394715;e;6781;e;199;e;49,6;e;4797048;e;1908;e;37;e;105,6;e;18549;e;145;e;27;e;-62,5;e;239983;e;244;e;84;e;27,3;e;96075;e;598;e;146;e;22,7;e;252905;e;246;e;18;e;-18,2;e;8102;e;102;e;159;e;78,7;e;181373;e;1388;e;453;e;30,9;e;4753477;e;15767;e;71;e;47,9;e;30149;e;255;e;17;e;6,3;e;4088;e;54;e;64;e;-7,2;e;33919;e;361;e;41;e;70,8;e;53687;e;345;e;79;e;49,1;e;118167;e;1741;e;29;e;45,0;e;25394;e;265;e
;Mai;212;e;37,7;e;384293;e;2201;e;283;e;15,5;e;238712;e;1909;e;187;e;49,6;e;1439090;e;2060;e;30;e;-18,9;e;16124;e;89;e;16;e;45,5;e;2691;e;49;e;88;e;72,5;e;66565;e;519;e;134;e;31,4;e;205712;e;485;e;22;e;4,8;e;8533;e;184;e;190;e;57,0;e;420392;e;1811;e;480;e;28,3;e;452349;e;3612;e;71;e;18,3;e;38982;e;450;e;12;e;-14,3;e;2702;e;47;e;84;e;44,8;e;108314;e;747;e;39;e;77,3;e;8801;e;162;e;62;e;10,7;e;29692;e;277;e;24;e;-11,1;e;15674;e;171;e
;Juni;187;e;25,5;e;287226;e;1222;e;182;e;-2,2;e;306800;e;1092;e;163;e;10,1;e;4137665;e;411;e;28;e;-3,4;e;19895;e;150;e;14;e;-39,1;e;1486;e;32;e;63;e;-1,6;e;14867;e;176;e;145;e;11,5;e;119377;e;547;e;23;e;-8,0;e;4710;e;80;e;132;e;3,9;e;564944;e;1384;e;476;e;17,0;e;666688;e;4832;e;67;e;11,7;e;50256;e;203;e;22;e;37,5;e;6350;e;152;e;51;e;-35,4;e;26249;e;163;e;26;e;-18,8;e;5679;e;42;e;55;e;1,9;e;65465;e;232;e;19;e;-;;10055;e;105;e
;Juli;209;e;28,2;e;646687;e;2397;e;254;e;22,7;e;341264;e;1718;e;207;e;28,6;e;714679;e;707;e;34;e;-2,9;e;56748;e;369;e;21;e;90,9;e;7420;e;91;e;64;e;42,2;e;41732;e;140;e;161;e;35,3;e;455978;e;1022;e;22;e;-21,4;e;6316;e;136;e;152;e;22,6;e;82718;e;317;e;532;e;17,4;e;620178;e;3654;e;73;e;7,4;e;73320;e;178;e;20;e;53,8;e;12489;e;126;e;80;e;40,4;e;81935;e;643;e;25;e;-40,5;e;11631;e;239;e;69;e;76,9;e;18336;e;259;e;14;e;-33,3;e;30081;e;54;e
;August;218;e;36,3;e;246550;e;1798;e;271;e;20,4;e;374379;e;2125;e;138;e;6,2;e;459450;e;464;e;25;e;-34,2;e;25456;e;235;e;12;e;20,0;e;3575;e;117;e;66;e;20,0;e;28735;e;200;e;136;e;1,5;e;145700;e;421;e;17;e;-15,0;e;13439;e;64;e;183;e;96,8;e;193226;e;1696;e;424;e;-4,9;e;481654;e;2377;e;63;e;3,3;e;26190;e;105;e;17;e;-5,6;e;4131;e;49;e;80;e;50,9;e;159463;e;1281;e;30;e;11,1;e;78581;e;313;e;60;e;-11,8;e;44950;e;479;e;24;e;33,3;e;62117;e;373;e
;September;176;e;-0,6;e;294337;e;1311;e;248;e;24,0;e;2184100;e;7478;e;173;e;26,3;e;253055;e;402;e;50;e;28,2;e;38063;e;123;e;26;e;44,4;e;127799;e;88;e;64;e;10,3;e;67370;e;395;e;141;e;34,3;e;116707;e;342;e;25;e;-13,8;e;13407;e;145;e;147;e;25,6;e;3695756;e;2737;e;505;e;28,2;e;566096;e;1665;e;81;e;15,7;e;244868;e;2655;e;24;e;33,3;e;10021;e;162;e;55;e;-32,9;e;18246;e;164;e;30;e;11,1;e;5230;e;106;e;61;e;-6,2;e;11997;e;132;e;13;e;-38,1;e;5541;e;203;e
;Oktober;236;e;81,5;e;590981;e;2287;e;287;e;25,9;e;600352;e;2521;e;190;e;54,5;e;1087362;e;555;e;35;e;34,6;e;102449;e;397;e;15;e;-21,1;e;8963;e;207;e;65;e;38,3;e;24445;e;812;e;148;e;45,1;e;482204;e;603;e;26;e;100,0;e;31891;e;365;e;136;e;6,3;e;159793;e;861;e;492;e;26,8;e;365480;e;1007;e;84;e;1,2;e;37763;e;317;e;27;e;12,5;e;4987;e;127;e;73;e;35,2;e;243011;e;261;e;28;e;-15,2;e;9605;e;149;e;143;e;150,9;e;72514;e;913;e;27;e;3,8;e;22681;e;184;e
;November;169;e;-1,7;e;124921;e;1055;e;239;e;12,2;e;279610;e;875;e;202;e;38,4;e;403743;e;639;e;33;e;13,8;e;16762;e;231;e;15;e;-11,8;e;5087;e;53;e;80;e;48,1;e;77382;e;268;e;129;e;-2,3;e;563156;e;348;e;16;e;-42,9;e;46350;e;174;e;169;e;56,5;e;198443;e;1634;e;486;e;29,9;e;824001;e;3375;e;58;e;-17,1;e;26644;e;208;e;23;e;15,0;e;7795;e;91;e;70;e;25,0;e;75140;e;685;e;33;e;50,0;e;25788;e;209;e;46;e;-20,7;e;30516;e;149;e;19;e;35,7;e;62484;e;1010;e
;Dezember;192;e;14,3;e;322252;e;2386;e;252;e;-;;579678;e;1478;e;143;e;1,4;e;845156;e;1332;e;55;e;111,5;e;36025;e;629;e;12;e;-25,0;e;5807;e;46;e;82;e;10,8;e;91636;e;493;e;158;e;35,0;e;627266;e;711;e;14;e;-26,3;e;9330;e;156;e;133;e;4,7;e;1528904;e;896;e;479;e;34,2;e;1185732;e;3773;e;71;e;9,2;e;56087;e;412;e;14;e;-12,5;e;3629;e;12;e;72;e;5,9;e;437198;e;209;e;30;e;-3,2;e;20896;e;308;e;67;e;39,6;e;60850;e;1408;e;17;e;-32,0;e;13578;e;64;e
2025;Januar;201;e;10,4;e;273850;e;1753;e;276;e;28,4;e;3533198;e;4330;e;163;e;0,6;e;235245;e;1070;e;41;e;7,9;e;15667;e;233;e;15;e;7,1;e;8897;e;55;e;58;e;-12,1;e;36485;e;201;e;129;e;34,4;e;147149;e;502;e;31;e;-8,8;e;20880;e;177;e;137;e;4,6;e;189223;e;854;e;487;e;16,8;e;633339;e;2877;e;79;e;27,4;e;39658;e;439;e;16;e;-30,4;e;3381;e;56;e;60;e;-10,4;e;45480;e;144;e;22;e;-4,3;e;10404;e;115;e;72;e;5,9;e;99192;e;785;e;43;e;79,2;e;42172;e;336;e
;Februar;271;e;29,7;e;482092;e;4246;e;288;e;12,5;e;6556155;e;2305;e;178;e;2,9;e;314589;e;940;e;35;e;-2,8;e;14537;e;67;e;9;e;-35,7;e;3211;e;59;e;75;e;11,9;e;160281;e;237;e;175;e;31,6;e;339838;e;878;e;24;e;-;;43098;e;306;e;171;e;32,6;e;187764;e;2443;e;532;e;16,7;e;549022;e;3509;e;87;e;13,0;e;90322;e;784;e;12;e;-47,8;e;2272;e;17;e;84;e;10,5;e;97381;e;2521;e;33;e;65,0;e;48281;e;248;e;72;e;14,3;e;118412;e;1118;e;22;e;-24,1;e;17526;e;150;e
;März;190;e;-18,5;e;503195;e;2638;e;273;e;10,1;e;2297344;e;1575;e;170;e;9,7;e;603682;e;395;e;39;e;30,0;e;62216;e;534;e;16;e;45,5;e;102673;e;140;e;67;e;11,7;e;168889;e;505;e;190;e;48,4;e;167852;e;680;e;20;e;-37,5;e;14519;e;90;e;140;e;-14,1;e;98382;e;586;e;553;e;25,7;e;851748;e;3910;e;87;e;4,8;e;298755;e;2609;e;15;e;25,0;e;8093;e;143;e;75;e;-21,1;e;204994;e;253;e;30;e;11,1;e;8395;e;93;e;97;e;61,7;e;153599;e;501;e;31;e;24,0;e;28690;e;102;e
;April;220;e;-0,9;e;171123;e;971;e;290;e;11,5;e;468158;e;2286;e;169;e;-15,1;e;400182;e;1055;e;54;e;45,9;e;70590;e;231;e;17;e;-37,0;e;5017;e;83;e;86;e;2,4;e;64861;e;264;e;181;e;24,0;e;159802;e;988;e;29;e;61,1;e;24783;e;195;e;199;e;25,2;e;160708;e;1285;e;509;e;12,4;e;586803;e;4244;e;103;e;45,1;e;69864;e;483;e;14;e;-17,6;e;2750;e;25;e;102;e;59,4;e;210029;e;939;e;62;e;51,2;e;91431;e;2162;e;74;e;-6,3;e;52269;e;297;e;16;e;-44,8;e;9507;e;152;e
;Mai;207;e;-2,4;e;201290;e;1565;e;266;e;-6,0;e;1066995;e;2417;e;160;e;-14,4;e;272821;e;660;e;56;e;86,7;e;32633;e;305;e;17;e;6,3;e;4059;e;71;e;67;e;-23,9;e;50688;e;191;e;164;e;22,4;e;113542;e;418;e;33;e;50,0;e;21568;e;394;e;174;e;-8,4;e;119268;e;1497;e;561;e;16,9;e;901993;e;3152;e;93;e;31,0;e;222403;e;1840;e;16;e;33,3;e;3651;e;66;e;82;e;-2,4;e;114125;e;576;e;39;e;-;;33897;e;768;e;70;e;12,9;e;37666;e;261;e;31;e;29,2;e;28487;e;409;e
;Juni;199;e;6,4;e;312545;e;1749;e;278;e;52,7;e;301439;e;1196;e;198;e;21,5;e;429603;e;971;e;34;e;21,4;e;17833;e;224;e;8;e;-42,9;e;1151;e;29;e;56;e;-11,1;e;45402;e;775;e;148;e;2,1;e;118169;e;1377;e;19;e;-17,4;e;6715;e;130;e;163;e;23,5;e;133561;e;676;e;548;e;15,1;e;895738;e;3582;e;76;e;13,4;e;68733;e;1472;e;14;e;-36,4;e;3441;e;30;e;80;e;56,9;e;45829;e;301;e;41;e;57,7;e;30159;e;492;e;69;e;25,5;e;38892;e;320;e;26;e;36,8;e;15220;e;119;e
;Juli;243;e;16,3;e;248737;e;2017;e;286;e;12,6;e;312221;e;1205;e;209;e;1,0;e;458879;e;788;e;37;e;8,8;e;21274;e;224;e;24;e;14,3;e;7919;e;96;e;102;e;59,4;e;102323;e;232;e;184;e;14,3;e;390162;e;1347;e;17;e;-22,7;e;11112;e;72;e;139;e;-8,6;e;77573;e;480;e;628;e;18,0;e;1009570;e;2256;e;98;e;34,2;e;91441;e;370;e;18;e;-10,0;e;6906;e;116;e;69;e;-13,8;e;734519;e;428;e;31;e;24,0;e;77238;e;862;e;86;e;24,6;e;87282;e;756;e;26;e;85,7;e;16376;e;71;e
;August;281;e;28,9;e;254171;e;1221;e;280;e;3,3;e;227607;e;1829;e;160;e;15,9;e;247292;e;857;e;27;e;8,0;e;45642;e;182;e;17;e;41,7;e;2882;e;58;e;48;e;-27,3;e;24438;e;187;e;174;e;27,9;e;362389;e;493;e;20;e;17,6;e;4431;e;61;e;148;e;-19,1;e;2617640;e;437;e;555;e;30,9;e;690072;e;3392;e;61;e;-3,2;e;37273;e;214;e;21;e;23,5;e;6823;e;102;e;79;e;-1,3;e;818904;e;1040;e;22;e;-26,7;e;18355;e;165;e;62;e;3,3;e;26013;e;691;e;24;e;-;;10621;e;166;e
;September;189;e;7,4;e;253608;e;1336;e;241;e;-2,8;e;225920;e;2506;e;134;e;-22,5;e;142045;e;764;e;31;e;-38,0;e;98032;e;118;e;15;e;-42,3;e;95679;e;703;e;87;e;35,9;e;90483;e;1036;e;188;e;33,3;e;108326;e;300;e;16;e;-36,0;e;4685;e;67;e;145;e;-1,4;e;192297;e;922;e;559;e;10,7;e;985644;e;4055;e;96;e;18,5;e;270956;e;885;e;13;e;-45,8;e;3404;e;33;e;79;e;43,6;e;272816;e;1171;e;34;e;13,3;e;113628;e;190;e;79;e;29,5;e;23882;e;272;e;34;e;161,5;e;46120;e;1045;e
;Oktober;228;e;-3,4;e;214130;e;2105;e;306;e;6,6;e;451388;e;2977;e;131;e;-31,1;e;215221;e;1769;e;40;e;14,3;e;46440;e;593;e;14;e;-6,7;e;2164;e;174;e;92;e;41,5;e;496199;e;926;e;207;e;39,9;e;228621;e;549;e;23;e;-11,5;e;8718;e;226;e;173;e;27,2;e;154446;e;1411;e;547;e;11,2;e;540449;e;1811;e;78;e;-7,1;e;51804;e;574;e;12;e;-55,6;e;1731;e;33;e;108;e;47,9;e;94926;e;569;e;45;e;60,7;e;28972;e;188;e;76;e;-46,9;e;51920;e;142;e;28;e;3,7;e;35576;e;328;e
;November;204;e;20,7;e;188975;e;1047;e;241;e;0,8;e;208366;e;1185;e;107;e;-47,0;e;158238;e;431;e;27;e;-18,2;e;35483;e;102;e;11;e;-26,7;e;1423;e;41;e;70;e;-12,5;e;118853;e;291;e;159;e;23,3;e;93965;e;347;e;24;e;50,0;e;14797;e;80;e;164;e;-3,0;e;94428;e;949;e;533;e;9,7;e;312405;e;1975;e;61;e;5,2;e;19656;e;147;e;8;e;-65,2;e;2405;e;25;e;74;e;5,7;e;61383;e;513;e;30;e;-9,1;e;6961;e;201;e;58;e;26,1;e;146922;e;202;e;23;e;21,1;e;20841;e;621;e
;Dezember;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;;...;
__________
© Statistisches Bundesamt (Destatis), 2026
Stand: 12.03.2026 / 14:42:54
