Datum,Jahr,Monat,Monatsnummer,Bundesland,Insolvenzen,Veraenderung_Vorjahr_Pct,Forderungen_Tsd_EUR,Betroffene_Arbeitnehmer
2024-01,2024,Januar,1,Baden-Württemberg,182.0,41.1,317973.0,2222.0
2024-01,2024,Januar,1,Bayern,215.0,16.2,606322.0,1281.0
2024-01,2024,Januar,1,Berlin,162.0,26.6,297321.0,671.0
2024-01,2024,Januar,1,Brandenburg,38.0,111.1,19550.0,270.0
2024-01,2024,Januar,1,Bremen,14.0,55.6,21985.0,213.0
2024-01,2024,Januar,1,Hamburg,66.0,17.9,88081.0,280.0
2024-01,2024,Januar,1,Hessen,96.0,9.1,111441.0,909.0
2024-01,2024,Januar,1,Mecklenburg-Vorpommern,34.0,112.5,58684.0,1812.0
2024-01,2024,Januar,1,Niedersachsen,131.0,36.5,64895.0,923.0
2024-01,2024,Januar,1,Nordrhein-Westfalen,417.0,15.5,1796853.0,9373.0
2024-01,2024,Januar,1,Rheinland-Pfalz,62.0,59.0,69251.0,636.0
2024-01,2024,Januar,1,Saarland,23.0,-20.7,3742.0,71.0
2024-01,2024,Januar,1,Sachsen,67.0,109.4,36357.0,306.0
2024-01,2024,Januar,1,Sachsen-Anhalt,23.0,64.3,5219.0,52.0
2024-01,2024,Januar,1,Schleswig-Holstein,68.0,13.3,33619.0,333.0
2024-01,2024,Januar,1,Thüringen,24.0,118.2,7298.0,143.0
2024-02,2024,Februar,2,Baden-Württemberg,209.0,43.2,121508.0,1620.0
2024-02,2024,Februar,2,Bayern,256.0,44.6,413980.0,3000.0
2024-02,2024,Februar,2,Berlin,173.0,25.4,1588230.0,1015.0
2024-02,2024,Februar,2,Brandenburg,36.0,24.1,23427.0,444.0
2024-02,2024,Februar,2,Bremen,14.0,7.7,11835.0,119.0
2024-02,2024,Februar,2,Hamburg,67.0,21.8,20280.0,193.0
2024-02,2024,Februar,2,Hessen,133.0,44.6,73284.0,606.0
2024-02,2024,Februar,2,Mecklenburg-Vorpommern,24.0,84.6,6872.0,232.0
2024-02,2024,Februar,2,Niedersachsen,129.0,31.6,74132.0,898.0
2024-02,2024,Februar,2,Nordrhein-Westfalen,456.0,30.7,1183767.0,3977.0
2024-02,2024,Februar,2,Rheinland-Pfalz,77.0,14.9,396083.0,2277.0
2024-02,2024,Februar,2,Saarland,23.0,64.3,10089.0,72.0
2024-02,2024,Februar,2,Sachsen,76.0,35.7,41053.0,773.0
2024-02,2024,Februar,2,Sachsen-Anhalt,20.0,5.3,4889.0,69.0
2024-02,2024,Februar,2,Schleswig-Holstein,63.0,,95652.0,581.0
2024-02,2024,Februar,2,Thüringen,29.0,-12.1,14235.0,176.0
2024-03,2024,März,3,Baden-Württemberg,233.0,23.9,295870.0,1708.0
2024-03,2024,März,3,Bayern,248.0,15.3,290472.0,2836.0
2024-03,2024,März,3,Berlin,155.0,13.1,1695425.0,771.0
2024-03,2024,März,3,Brandenburg,30.0,36.4,11638.0,94.0
2024-03,2024,März,3,Bremen,11.0,22.2,4085.0,157.0
2024-03,2024,März,3,Hamburg,60.0,11.1,119079.0,125.0
2024-03,2024,März,3,Hessen,128.0,16.4,94250.0,162.0
2024-03,2024,März,3,Mecklenburg-Vorpommern,32.0,60.0,18632.0,530.0
2024-03,2024,März,3,Niedersachsen,163.0,18.1,142440.0,977.0
2024-03,2024,März,3,Nordrhein-Westfalen,440.0,36.2,746327.0,2122.0
2024-03,2024,März,3,Rheinland-Pfalz,83.0,48.2,87044.0,463.0
2024-03,2024,März,3,Saarland,12.0,-33.3,1725.0,11.0
2024-03,2024,März,3,Sachsen,95.0,14.5,86970.0,794.0
2024-03,2024,März,3,Sachsen-Anhalt,27.0,-10.0,44653.0,481.0
2024-03,2024,März,3,Schleswig-Holstein,60.0,-6.3,20800.0,336.0
2024-03,2024,März,3,Thüringen,25.0,47.1,10318.0,89.0
2024-04,2024,April,4,Baden-Württemberg,222.0,59.7,419478.0,2357.0
2024-04,2024,April,4,Bayern,260.0,34.0,394715.0,6781.0
2024-04,2024,April,4,Berlin,199.0,49.6,4797048.0,1908.0
2024-04,2024,April,4,Brandenburg,37.0,105.6,18549.0,145.0
2024-04,2024,April,4,Bremen,27.0,-62.5,239983.0,244.0
2024-04,2024,April,4,Hamburg,84.0,27.3,96075.0,598.0
2024-04,2024,April,4,Hessen,146.0,22.7,252905.0,246.0
2024-04,2024,April,4,Mecklenburg-Vorpommern,18.0,-18.2,8102.0,102.0
2024-04,2024,April,4,Niedersachsen,159.0,78.7,181373.0,1388.0
