Datum,Jahr,Monat,Monatsnummer,Insolvenzen,Veraenderung_Vorjahr_Pct,Forderungen_Tsd_EUR
2024-01,2024,Januar,1,9566.0,11.4,4310057.0
2024-02,2024,Februar,2,9859.0,15.3,4685461.0
2024-03,2024,März,3,10158.0,2.0,4416646.0
2024-04,2024,April,4,10545.0,28.5,12274192.0
2024-05,2024,Mai,5,10037.0,8.1,4080703.0
2024-06,2024,Juni,6,9727.0,2.0,6921207.0
2024-07,2024,Juli,7,11245.0,18.9,4223511.0
2024-08,2024,August,8,9596.0,-1.4,2977130.0
2024-09,2024,September,9,9710.0,7.7,8288780.0
2024-10,2024,Oktober,10,10696.0,14.9,4616817.0
2024-11,2024,November,11,9989.0,4.3,3672424.0
2024-12,2024,Dezember,12,9546.0,6.4,6450794.0
2025-01,2025,Januar,1,10426.0,9.0,5994571.0
2025-02,2025,Februar,2,10556.0,7.1,9848626.0
2025-03,2025,März,3,10794.0,6.3,6327915.0
2025-04,2025,April,4,10923.0,3.6,3228811.0
2025-05,2025,Mai,5,11118.0,10.8,3991813.0
2025-06,2025,Juni,6,10956.0,12.6,3282741.0
2025-07,2025,Juli,7,12597.0,12.0,4511949.0
2025-08,2025,August,8,10514.0,9.6,6077912.0
2025-09,2025,September,9,10444.0,7.6,3736803.0
2025-10,2025,Oktober,10,11262.0,5.3,3344534.0
2025-11,2025,November,11,10666.0,6.8,2250002.0
2025-12,2025,Dezember,12,,,
