Datum,Jahr,Monat,Monatsnummer,Alle_Insolvenzen,Unternehmen_Insolvenzen,Betroffene_Arbeitnehmer
2020-01,2020,Januar,1,8995.0,1609,10737
2020-02,2020,Februar,2,8133.0,1529,8854
2020-03,2020,März,3,8227.0,1545,15565
2020-04,2020,April,4,6322.0,1465,11703
2020-05,2020,Mai,5,7532.0,1504,16656
2020-06,2020,Juni,6,8477.0,1354,15169
2020-07,2020,Juli,7,7014.0,1369,44761
2020-08,2020,August,8,3910.0,1051,14966
2020-09,2020,September,9,3192.0,1065,15655
2020-10,2020,Oktober,10,3947.0,1085,11294
2020-11,2020,November,11,4328.0,1046,6209
2020-12,2020,Dezember,12,4967.0,1219,16326
2021-01,2021,Januar,1,7785.0,1108,9237
2021-02,2021,Februar,2,11184.0,1195,6996
2021-03,2021,März,3,14127.0,1459,8203
2021-04,2021,April,4,10100.0,1333,6599
2021-05,2021,Mai,5,9527.0,1116,4043
2021-06,2021,Juni,6,10501.0,1197,7649
2021-07,2021,Juli,7,10894.0,1200,7921
2021-08,2021,August,8,8834.0,1029,3057
2021-09,2021,September,9,9195.0,1045,4551
2021-10,2021,Oktober,10,9041.0,1056,6944
2021-11,2021,November,11,9606.0,1094,4092
2021-12,2021,Dezember,12,9445.0,1161,6395
2022-01,2022,Januar,1,8211.0,1057,6969
2022-02,2022,Februar,2,8603.0,1132,6357
2022-03,2022,März,3,10037.0,1294,7785
2022-04,2022,April,4,8394.0,1248,6777
2022-05,2022,Mai,5,9318.0,1242,6944
2022-06,2022,Juni,6,8831.0,1140,5345
2022-07,2022,Juli,7,8414.0,1154,4837
2022-08,2022,August,8,8598.0,1147,5203
2022-09,2022,September,9,8676.0,1229,6953
2022-10,2022,Oktober,10,8207.0,1245,6323
2022-11,2022,November,11,9204.0,1312,9298
2022-12,2022,Dezember,12,9036.0,1390,10806
2023-01,2023,Januar,1,8586.0,1271,8600
2023-02,2023,Februar,2,8550.0,1362,33826
2023-03,2023,März,3,9957.0,1484,9212
2023-04,2023,April,4,8205.0,1428,17283
2023-05,2023,Mai,5,9284.0,1478,7222
2023-06,2023,Juni,6,9533.0,1548,16862
2023-07,2023,Juli,7,9460.0,1586,13290
2023-08,2023,August,8,9732.0,1556,12032
2023-09,2023,September,9,9019.0,1557,13275
2023-10,2023,Oktober,10,9305.0,1481,9759
2023-11,2023,November,11,9573.0,1513,11873
2023-12,2023,Dezember,12,8974.0,1550,12660
2024-01,2024,Januar,1,9566.0,1622,19495
2024-02,2024,Februar,2,9859.0,1785,16052
2024-03,2024,März,3,10158.0,1802,11656
2024-04,2024,April,4,10545.0,1906,32557
2024-05,2024,Mai,5,10037.0,1934,14773
2024-06,2024,Juni,6,9727.0,1653,10823
2024-07,2024,Juli,7,11245.0,1937,12050
2024-08,2024,August,8,9596.0,1764,12097
2024-09,2024,September,9,9710.0,1819,18108
2024-10,2024,Oktober,10,10696.0,2012,11566
2024-11,2024,November,11,9989.0,1787,11004
2024-12,2024,Dezember,12,9546.0,1791,14313
2025-01,2025,Januar,1,10426.0,1830,13927
2025-02,2025,Februar,2,10556.0,2068,19828
2025-03,2025,März,3,10794.0,1993,14754
2025-04,2025,April,4,10923.0,2125,15660
2025-05,2025,Mai,5,11118.0,2036,14590
2025-06,2025,Juni,6,10956.0,1957,13443
2025-07,2025,Juli,7,12597.0,2197,11320
2025-08,2025,August,8,10514.0,1979,11095
2025-09,2025,September,9,10444.0,1940,15403
2025-10,2025,Oktober,10,11262.0,2108,14375
2025-11,2025,November,11,10666.0,1794,8157
2025-12,2025,Dezember,12,10749.0,2037,13914
