Datum,Jahr,Monat,Monatsnummer,Unternehmen_Insolvenzen,Betroffene_Arbeitnehmer
2020-01,2020,Januar,1,1609,10737
2020-02,2020,Februar,2,1529,8854
2020-03,2020,März,3,1545,15565
2020-04,2020,April,4,1465,11703
2020-05,2020,Mai,5,1504,16656
2020-06,2020,Juni,6,1354,15169
2020-07,2020,Juli,7,1369,44761
2020-08,2020,August,8,1051,14966
2020-09,2020,September,9,1065,15655
2020-10,2020,Oktober,10,1085,11294
2020-11,2020,November,11,1046,6209
2020-12,2020,Dezember,12,1219,16326
2021-01,2021,Januar,1,1108,9237
2021-02,2021,Februar,2,1195,6996
2021-03,2021,März,3,1459,8203
2021-04,2021,April,4,1333,6599
2021-05,2021,Mai,5,1116,4043
2021-06,2021,Juni,6,1197,7649
2021-07,2021,Juli,7,1200,7921
2021-08,2021,August,8,1029,3057
2021-09,2021,September,9,1045,4551
2021-10,2021,Oktober,10,1056,6944
2021-11,2021,November,11,1094,4092
2021-12,2021,Dezember,12,1161,6395
2022-01,2022,Januar,1,1057,6969
2022-02,2022,Februar,2,1132,6357
2022-03,2022,März,3,1294,7785
2022-04,2022,April,4,1248,6777
2022-05,2022,Mai,5,1242,6944
2022-06,2022,Juni,6,1140,5345
2022-07,2022,Juli,7,1154,4837
2022-08,2022,August,8,1147,5203
2022-09,2022,September,9,1229,6953
2022-10,2022,Oktober,10,1245,6323
2022-11,2022,November,11,1312,9298
2022-12,2022,Dezember,12,1390,10806
2023-01,2023,Januar,1,1271,8600
2023-02,2023,Februar,2,1362,33826
2023-03,2023,März,3,1484,9212
2023-04,2023,April,4,1428,17283
2023-05,2023,Mai,5,1478,7222
2023-06,2023,Juni,6,1548,16862
2023-07,2023,Juli,7,1586,13290
2023-08,2023,August,8,1556,12032
2023-09,2023,September,9,1557,13275
2023-10,2023,Oktober,10,1481,9759
2023-11,2023,November,11,1513,11873
2023-12,2023,Dezember,12,1550,12660
2024-01,2024,Januar,1,1622,19495
2024-02,2024,Februar,2,1785,16052
2024-03,2024,März,3,1802,11656
2024-04,2024,April,4,1906,32557
2024-05,2024,Mai,5,1934,14773
2024-06,2024,Juni,6,1653,10823
2024-07,2024,Juli,7,1937,12050
2024-08,2024,August,8,1764,12097
2024-09,2024,September,9,1819,18108
2024-10,2024,Oktober,10,2012,11566
2024-11,2024,November,11,1787,11004
2024-12,2024,Dezember,12,1791,14313
2025-01,2025,Januar,1,1830,13927
2025-02,2025,Februar,2,2068,19828
2025-03,2025,März,3,1993,14754
2025-04,2025,April,4,2125,15660
2025-05,2025,Mai,5,2036,14590
2025-06,2025,Juni,6,1957,13443
2025-07,2025,Juli,7,2197,11320
2025-08,2025,August,8,1979,11095
2025-09,2025,September,9,1940,15403
2025-10,2025,Oktober,10,2108,14375
2025-11,2025,November,11,1794,8157
2025-12,2025,Dezember,12,2037,13914
