Datum,Jahr,Monat,Monatsnummer,Branchencode,Branche,Eroeffnet,Mangels_Masse_Abgewiesen,Gesamt
2020-01,2020,Januar,1,WZ08-A,"Land- und Forstwirtschaft, Fischerei",11.0,1.0,12.0
2020-01,2020,Januar,1,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,1.0,
2020-01,2020,Januar,1,WZ08-C,Verarbeitendes Gewerbe,139.0,20.0,159.0
2020-01,2020,Januar,1,WZ08-D,Energieversorgung,2.0,,
2020-01,2020,Januar,1,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",1.0,3.0,4.0
2020-01,2020,Januar,1,WZ08-F,Baugewerbe,183.0,64.0,247.0
2020-01,2020,Januar,1,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",205.0,70.0,275.0
2020-01,2020,Januar,1,WZ08-H,Verkehr und Lagerei,94.0,30.0,124.0
2020-01,2020,Januar,1,WZ08-I,Gastgewerbe,136.0,49.0,185.0
2020-01,2020,Januar,1,WZ08-J,Information und Kommunikation,29.0,27.0,56.0
2020-01,2020,Januar,1,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,14.0,7.0,21.0
2020-01,2020,Januar,1,WZ08-L,Grundstücks- und Wohnungswesen,29.0,19.0,48.0
2020-01,2020,Januar,1,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",105.0,65.0,170.0
2020-01,2020,Januar,1,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,105.0,47.0,152.0
2020-01,2020,Januar,1,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,
2020-01,2020,Januar,1,WZ08-P,Erziehung und Unterricht,16.0,3.0,19.0
2020-01,2020,Januar,1,WZ08-Q,Gesundheits- und Sozialwesen,25.0,5.0,30.0
2020-01,2020,Januar,1,WZ08-R,"Kunst, Unterhaltung und Erholung",27.0,5.0,32.0
2020-01,2020,Januar,1,WZ08-S,Erbringung von sonstigen Dienstleistungen,54.0,18.0,72.0
2020-02,2020,Februar,2,WZ08-A,"Land- und Forstwirtschaft, Fischerei",8.0,,
2020-02,2020,Februar,2,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,
2020-02,2020,Februar,2,WZ08-C,Verarbeitendes Gewerbe,111.0,16.0,127.0
2020-02,2020,Februar,2,WZ08-D,Energieversorgung,3.0,2.0,5.0
2020-02,2020,Februar,2,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",2.0,,
2020-02,2020,Februar,2,WZ08-F,Baugewerbe,159.0,67.0,226.0
2020-02,2020,Februar,2,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",183.0,72.0,255.0
2020-02,2020,Februar,2,WZ08-H,Verkehr und Lagerei,95.0,26.0,121.0
2020-02,2020,Februar,2,WZ08-I,Gastgewerbe,127.0,40.0,167.0
2020-02,2020,Februar,2,WZ08-J,Information und Kommunikation,37.0,14.0,51.0
2020-02,2020,Februar,2,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,18.0,13.0,31.0
2020-02,2020,Februar,2,WZ08-L,Grundstücks- und Wohnungswesen,29.0,16.0,45.0
2020-02,2020,Februar,2,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",109.0,66.0,175.0
2020-02,2020,Februar,2,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,130.0,47.0,177.0
2020-02,2020,Februar,2,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,
2020-02,2020,Februar,2,WZ08-P,Erziehung und Unterricht,16.0,4.0,20.0
2020-02,2020,Februar,2,WZ08-Q,Gesundheits- und Sozialwesen,22.0,2.0,24.0
2020-02,2020,Februar,2,WZ08-R,"Kunst, Unterhaltung und Erholung",22.0,8.0,30.0
2020-02,2020,Februar,2,WZ08-S,Erbringung von sonstigen Dienstleistungen,49.0,16.0,65.0
2020-03,2020,März,3,WZ08-A,"Land- und Forstwirtschaft, Fischerei",8.0,1.0,9.0
2020-03,2020,März,3,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,
2020-03,2020,März,3,WZ08-C,Verarbeitendes Gewerbe,117.0,19.0,136.0
2020-03,2020,März,3,WZ08-D,Energieversorgung,8.0,5.0,13.0
2020-03,2020,März,3,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",3.0,2.0,5.0
2020-03,2020,März,3,WZ08-F,Baugewerbe,205.0,83.0,288.0
2020-03,2020,März,3,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",179.0,79.0,258.0
2020-03,2020,März,3,WZ08-H,Verkehr und Lagerei,91.0,22.0,113.0
2020-03,2020,März,3,WZ08-I,Gastgewerbe,120.0,42.0,162.0
2020-03,2020,März,3,WZ08-J,Information und Kommunikation,37.0,16.0,53.0
2020-03,2020,März,3,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,17.0,16.0,33.0
2020-03,2020,März,3,WZ08-L,Grundstücks- und Wohnungswesen,24.0,17.0,41.0
2020-03,2020,März,3,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",90.0,55.0,145.0
2020-03,2020,März,3,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,123.0,50.0,173.0
2020-03,2020,März,3,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,
2020-03,2020,März,3,WZ08-P,Erziehung und Unterricht,9.0,3.0,12.0
2020-03,2020,März,3,WZ08-Q,Gesundheits- und Sozialwesen,21.0,8.0,29.0
2020-03,2020,März,3,WZ08-R,"Kunst, Unterhaltung und Erholung",18.0,4.0,22.0
2020-03,2020,März,3,WZ08-S,Erbringung von sonstigen Dienstleistungen,35.0,18.0,53.0
2020-04,2020,April,4,WZ08-A,"Land- und Forstwirtschaft, Fischerei",8.0,3.0,11.0
2020-04,2020,April,4,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,1.0,,
2020-04,2020,April,4,WZ08-C,Verarbeitendes Gewerbe,129.0,19.0,148.0
2020-04,2020,April,4,WZ08-D,Energieversorgung,4.0,4.0,8.0
2020-04,2020,April,4,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",1.0,,
2020-04,2020,April,4,WZ08-F,Baugewerbe,175.0,74.0,249.0
2020-04,2020,April,4,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",168.0,63.0,231.0
2020-04,2020,April,4,WZ08-H,Verkehr und Lagerei,87.0,20.0,107.0
2020-04,2020,April,4,WZ08-I,Gastgewerbe,102.0,57.0,159.0
2020-04,2020,April,4,WZ08-J,Information und Kommunikation,30.0,17.0,47.0
2020-04,2020,April,4,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,19.0,10.0,29.0
2020-04,2020,April,4,WZ08-L,Grundstücks- und Wohnungswesen,25.0,15.0,40.0
2020-04,2020,April,4,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",99.0,64.0,163.0
2020-04,2020,April,4,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,107.0,38.0,145.0
2020-04,2020,April,4,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,
2020-04,2020,April,4,WZ08-P,Erziehung und Unterricht,8.0,,
2020-04,2020,April,4,WZ08-Q,Gesundheits- und Sozialwesen,27.0,7.0,34.0
2020-04,2020,April,4,WZ08-R,"Kunst, Unterhaltung und Erholung",22.0,10.0,32.0
2020-04,2020,April,4,WZ08-S,Erbringung von sonstigen Dienstleistungen,28.0,24.0,52.0
2020-05,2020,Mai,5,WZ08-A,"Land- und Forstwirtschaft, Fischerei",4.0,3.0,7.0
2020-05,2020,Mai,5,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,
2020-05,2020,Mai,5,WZ08-C,Verarbeitendes Gewerbe,126.0,19.0,145.0
2020-05,2020,Mai,5,WZ08-D,Energieversorgung,5.0,5.0,10.0
2020-05,2020,Mai,5,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",5.0,1.0,6.0
2020-05,2020,Mai,5,WZ08-F,Baugewerbe,150.0,85.0,235.0
2020-05,2020,Mai,5,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",175.0,72.0,247.0
2020-05,2020,Mai,5,WZ08-H,Verkehr und Lagerei,96.0,25.0,121.0
2020-05,2020,Mai,5,WZ08-I,Gastgewerbe,121.0,43.0,164.0
2020-05,2020,Mai,5,WZ08-J,Information und Kommunikation,35.0,12.0,47.0
2020-05,2020,Mai,5,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,23.0,15.0,38.0
