Datum,Jahr,Monat,Monatsnummer,Branchencode,Branche,Eroeffnet,Mangels_Masse_Abgewiesen,Gesamt,mangel_ratio,Aktive_Unternehmen,Insolvenzrate_Pct
2020-01,2020,Januar,1,WZ08-A,"Land- und Forstwirtschaft, Fischerei",11.0,1.0,12.0,9.1,,
2020-01,2020,Januar,1,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,1.0,,,2348.0,
2020-01,2020,Januar,1,WZ08-C,Verarbeitendes Gewerbe,139.0,20.0,159.0,14.4,230421.0,0.0603
2020-01,2020,Januar,1,WZ08-D,Energieversorgung,2.0,,,,71592.0,0.0028
2020-01,2020,Januar,1,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",1.0,3.0,4.0,300.0,13195.0,0.0076
2020-01,2020,Januar,1,WZ08-F,Baugewerbe,183.0,64.0,247.0,35.0,390108.0,0.0469
2020-01,2020,Januar,1,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",205.0,70.0,275.0,34.1,680939.0,0.0301
2020-01,2020,Januar,1,WZ08-H,Verkehr und Lagerei,94.0,30.0,124.0,31.9,122113.0,0.077
2020-01,2020,Januar,1,WZ08-I,Gastgewerbe,136.0,49.0,185.0,36.0,249623.0,0.0545
2020-01,2020,Januar,1,WZ08-J,Information und Kommunikation,29.0,27.0,56.0,93.1,141586.0,0.0205
2020-01,2020,Januar,1,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,14.0,7.0,21.0,50.0,90990.0,0.0154
2020-01,2020,Januar,1,WZ08-L,Grundstücks- und Wohnungswesen,29.0,19.0,48.0,65.5,209412.0,0.0138
2020-01,2020,Januar,1,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",105.0,65.0,170.0,61.9,522619.0,0.0201
2020-01,2020,Januar,1,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,105.0,47.0,152.0,44.8,238577.0,0.044
2020-01,2020,Januar,1,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,,,
2020-01,2020,Januar,1,WZ08-P,Erziehung und Unterricht,16.0,3.0,19.0,18.8,95206.0,0.0168
2020-01,2020,Januar,1,WZ08-Q,Gesundheits- und Sozialwesen,25.0,5.0,30.0,20.0,269714.0,0.0093
2020-01,2020,Januar,1,WZ08-R,"Kunst, Unterhaltung und Erholung",27.0,5.0,32.0,18.5,106340.0,0.0254
2020-01,2020,Januar,1,WZ08-S,Erbringung von sonstigen Dienstleistungen,54.0,18.0,72.0,33.3,233493.0,0.0231
2020-02,2020,Februar,2,WZ08-A,"Land- und Forstwirtschaft, Fischerei",8.0,,,,,
2020-02,2020,Februar,2,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,,2348.0,
2020-02,2020,Februar,2,WZ08-C,Verarbeitendes Gewerbe,111.0,16.0,127.0,14.4,230421.0,0.0482
2020-02,2020,Februar,2,WZ08-D,Energieversorgung,3.0,2.0,5.0,66.7,71592.0,0.0042
2020-02,2020,Februar,2,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",2.0,,,,13195.0,0.0152
2020-02,2020,Februar,2,WZ08-F,Baugewerbe,159.0,67.0,226.0,42.1,390108.0,0.0408
2020-02,2020,Februar,2,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",183.0,72.0,255.0,39.3,680939.0,0.0269
2020-02,2020,Februar,2,WZ08-H,Verkehr und Lagerei,95.0,26.0,121.0,27.4,122113.0,0.0778
2020-02,2020,Februar,2,WZ08-I,Gastgewerbe,127.0,40.0,167.0,31.5,249623.0,0.0509
2020-02,2020,Februar,2,WZ08-J,Information und Kommunikation,37.0,14.0,51.0,37.8,141586.0,0.0261
2020-02,2020,Februar,2,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,18.0,13.0,31.0,72.2,90990.0,0.0198
2020-02,2020,Februar,2,WZ08-L,Grundstücks- und Wohnungswesen,29.0,16.0,45.0,55.2,209412.0,0.0138
2020-02,2020,Februar,2,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",109.0,66.0,175.0,60.6,522619.0,0.0209
2020-02,2020,Februar,2,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,130.0,47.0,177.0,36.2,238577.0,0.0545
2020-02,2020,Februar,2,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,,,
2020-02,2020,Februar,2,WZ08-P,Erziehung und Unterricht,16.0,4.0,20.0,25.0,95206.0,0.0168
2020-02,2020,Februar,2,WZ08-Q,Gesundheits- und Sozialwesen,22.0,2.0,24.0,9.1,269714.0,0.0082
2020-02,2020,Februar,2,WZ08-R,"Kunst, Unterhaltung und Erholung",22.0,8.0,30.0,36.4,106340.0,0.0207
2020-02,2020,Februar,2,WZ08-S,Erbringung von sonstigen Dienstleistungen,49.0,16.0,65.0,32.7,233493.0,0.021
2020-03,2020,März,3,WZ08-A,"Land- und Forstwirtschaft, Fischerei",8.0,1.0,9.0,12.5,,
2020-03,2020,März,3,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,,2348.0,
2020-03,2020,März,3,WZ08-C,Verarbeitendes Gewerbe,117.0,19.0,136.0,16.2,230421.0,0.0508
2020-03,2020,März,3,WZ08-D,Energieversorgung,8.0,5.0,13.0,62.5,71592.0,0.0112
2020-03,2020,März,3,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",3.0,2.0,5.0,66.7,13195.0,0.0227
2020-03,2020,März,3,WZ08-F,Baugewerbe,205.0,83.0,288.0,40.5,390108.0,0.0525
2020-03,2020,März,3,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",179.0,79.0,258.0,44.1,680939.0,0.0263
2020-03,2020,März,3,WZ08-H,Verkehr und Lagerei,91.0,22.0,113.0,24.2,122113.0,0.0745
2020-03,2020,März,3,WZ08-I,Gastgewerbe,120.0,42.0,162.0,35.0,249623.0,0.0481
