Datum,Jahr,Monat,Monatsnummer,Groessenklasse,Insolvenzen,Forderungen_Tsd_EUR,Betroffene_Arbeitnehmer
2020-01,2020,Januar,1,1 Arbeitnehmer,153,51669,153.0
2020-01,2020,Januar,1,2 bis 5 Arbeitnehmer,203,99213,649.0
2020-01,2020,Januar,1,6 bis 10 Arbeitnehmer,103,2963057,818.0
2020-01,2020,Januar,1,11 bis 100 Arbeitnehmer,153,214728,4288.0
2020-01,2020,Januar,1,Über 100 Arbeitnehmer,21,268928,4829.0
2020-01,2020,Januar,1,Unbekannt oder kein Arbeitnehmer,976,432535,
2020-02,2020,Februar,2,1 Arbeitnehmer,134,59629,134.0
2020-02,2020,Februar,2,2 bis 5 Arbeitnehmer,201,94589,626.0
2020-02,2020,Februar,2,6 bis 10 Arbeitnehmer,78,37541,581.0
2020-02,2020,Februar,2,11 bis 100 Arbeitnehmer,146,231957,4285.0
2020-02,2020,Februar,2,Über 100 Arbeitnehmer,16,141363,3228.0
2020-02,2020,Februar,2,Unbekannt oder kein Arbeitnehmer,954,417088,
2020-03,2020,März,3,1 Arbeitnehmer,144,19709,144.0
2020-03,2020,März,3,2 bis 5 Arbeitnehmer,195,183118,616.0
2020-03,2020,März,3,6 bis 10 Arbeitnehmer,80,44891,623.0
2020-03,2020,März,3,11 bis 100 Arbeitnehmer,144,315049,4270.0
2020-03,2020,März,3,Über 100 Arbeitnehmer,27,1254500,9912.0
2020-03,2020,März,3,Unbekannt oder kein Arbeitnehmer,955,469733,
2020-04,2020,April,4,1 Arbeitnehmer,124,57045,124.0
2020-04,2020,April,4,2 bis 5 Arbeitnehmer,176,73468,574.0
2020-04,2020,April,4,6 bis 10 Arbeitnehmer,95,51329,730.0
2020-04,2020,April,4,11 bis 100 Arbeitnehmer,166,372374,4707.0
2020-04,2020,April,4,Über 100 Arbeitnehmer,24,365739,5568.0
2020-04,2020,April,4,Unbekannt oder kein Arbeitnehmer,880,2231728,
2020-05,2020,Mai,5,1 Arbeitnehmer,125,40119,125.0
2020-05,2020,Mai,5,2 bis 5 Arbeitnehmer,208,143808,663.0
2020-05,2020,Mai,5,6 bis 10 Arbeitnehmer,90,35501,689.0
2020-05,2020,Mai,5,11 bis 100 Arbeitnehmer,156,195185,4335.0
2020-05,2020,Mai,5,Über 100 Arbeitnehmer,22,842277,10844.0
2020-05,2020,Mai,5,Unbekannt oder kein Arbeitnehmer,903,1841759,
2020-06,2020,Juni,6,1 Arbeitnehmer,110,143502,110.0
2020-06,2020,Juni,6,2 bis 5 Arbeitnehmer,177,50453,596.0
2020-06,2020,Juni,6,6 bis 10 Arbeitnehmer,85,60513,658.0
2020-06,2020,Juni,6,11 bis 100 Arbeitnehmer,132,779193,4308.0
2020-06,2020,Juni,6,Über 100 Arbeitnehmer,31,1089856,9497.0
2020-06,2020,Juni,6,Unbekannt oder kein Arbeitnehmer,819,994053,
2020-07,2020,Juli,7,1 Arbeitnehmer,139,268172,139.0
2020-07,2020,Juli,7,2 bis 5 Arbeitnehmer,142,236081,441.0
